model_name sample size system_name config_name core0_status core1_status core2_status core3_status core_freq gpu_status gpu_freq emc_status emc_freq inference_time power_consumption
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config53 1 0 0 0 1574400 1 140250000 1 1331200000 0.6183198028140597 3199.1111111111113
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config54 1 0 0 0 1574400 1 140250000 1 1600000000 0.6260046429104276 3487.6666666666665
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config55 1 0 0 0 1574400 1 140250000 1 1866000000 0.6282403998904758 3518.3333333333335
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config56 1 0 0 0 1574400 1 497250000 1 1062400000 0.23708266682094997 2395.4444444444443
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config57 1 0 0 0 1574400 1 497250000 1 1331200000 0.22025275230407715 2201.1111111111113
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config58 1 0 0 0 1574400 1 497250000 1 1600000000 0.2135208182864719 2563.8888888888887
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config59 1 0 0 0 1574400 1 497250000 1 1866000000 0.2080000771416558 2403.222222222222
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config60 1 0 0 0 1574400 1 943500000 1 1062400000 0.16691258218553331 3072.777777777778
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config61 1 0 0 0 1574400 1 943500000 1 1331200000 0.1409094598558214 2564.5555555555557
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config62 1 0 0 0 1574400 1 943500000 1 1600000000 0.13582155439588758 2894.3333333333335
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config63 1 0 0 0 1574400 1 943500000 1 1866000000 0.13718443446689182 2792.222222222222
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config64 1 0 0 0 1728000 1 1300500000 1 1062400000 0.14605442682902017 3689.777777777778
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config65 1 0 0 0 1728000 1 1300500000 1 1331200000 0.12763335969713 4324.444444444444
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config66 1 0 0 0 1728000 1 1300500000 1 1600000000 0.115092224544949 4298.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config67 1 0 0 0 1728000 1 1300500000 1 1866000000 0.11085828145345052 3916.3333333333335
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config68 1 0 0 0 1728000 1 140250000 1 1062400000 0.6180500984191895 3199.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config69 1 0 0 0 1728000 1 140250000 1 1331200000 0.6231044398413764 3462.777777777778
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config70 1 0 0 0 1728000 1 140250000 1 1600000000 0.6374941137101915 3740.6666666666665
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config71 1 0 0 0 1728000 1 140250000 1 1866000000 0.618436230553521 3848.222222222222
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config72 1 0 0 0 1728000 1 497250000 1 1062400000 0.2309414545694987 2370.222222222222
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config73 1 0 0 0 1728000 1 497250000 1 1331200000 0.2155444622039795 2378.3333333333335
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config74 1 0 0 0 1728000 1 497250000 1 1600000000 0.20925670199924046 2335.8888888888887
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config75 1 0 0 0 1728000 1 497250000 1 1866000000 0.20490720536973742 2403.6666666666665
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config76 1 0 0 0 1728000 1 943500000 1 1062400000 0.1571305063035753 2590.1111111111113
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config77 1 0 0 0 1728000 1 943500000 1 1331200000 0.13993159929911295 2970.8888888888887
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config78 1 0 0 0 1728000 1 943500000 1 1600000000 0.13165023591783312 2733.8888888888887
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config79 1 0 0 0 1728000 1 943500000 1 1866000000 0.125190708372328 2842.8888888888887
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config80 1 0 0 0 1881600 1 1300500000 1 1062400000 0.1414922078450521 3994.4444444444443
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config81 1 0 0 0 1881600 1 1300500000 1 1331200000 0.11759535471598308 3773.6666666666665
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config82 1 0 0 0 1881600 1 1300500000 1 1600000000 0.11798501014709473 4027.5555555555557
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config83 1 0 0 0 1881600 1 1300500000 1 1866000000 0.10640019840664333 3823.3333333333335
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config84 1 0 0 0 1881600 1 140250000 1 1062400000 0.6173826588524712 3276.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config85 1 0 0 0 1881600 1 140250000 1 1331200000 0.627027776506212 3470.3333333333335
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config86 1 0 0 0 1881600 1 140250000 1 1600000000 0.614232963985867 3893.5555555555557
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config87 1 0 0 0 1881600 1 140250000 1 1866000000 0.6110635333591037 3966.4444444444443
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config88 1 0 0 0 1881600 1 497250000 1 1062400000 0.2176847987704807 2344.4444444444443
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config89 1 0 0 0 1881600 1 497250000 1 1331200000 0.2105127970377604 2445.6666666666665
